개선,,,,,,,,,,,,
,,,,,,,,,,,,
회사,,,My Company,프로젝트명,,마스터 P-FMEA개발 프로젝트,,,FMEA ID Number,,2025-0070,
공장,,,천안공장,FMEA 개정일자,,2025-12-24,,,책임자,,신흥섭111,
고객,,,,FMEA 개정번호,,4,,,보안 등급,,confidential,
모델 연도/프로그램,,,모델 연도,상호기능팀,,"사람1, 사람2",,,,,,
,,,,,,,,,,,,
AP5,AP6,S/C,Preventive Control,S,Failure Modes,Failure Causes,O,Detection Control,D,Prevention Action,Detection Action,Completed Date
M,M,,이물제거 표준작업자 교육,7,10이물입 오염(SC),00 원재료 이물질 오염 제거 누락,4,육안 검사,6,,,
M,M,,운반원 교육 및 지게차 속도제한 장치 설치,7,"10포장,제품 손상(SC)",00 원재료 운반중 취급 부주의로 원재료 손상,3,육안검사,6,,,
L,L,,,2,11가온온도 불만족(SC),00설비 셋업 시 파라미터 입력 실수,5,,6,,,
L,L,,,2,11가온온도 불만족(SC),00온도 제어기 고장 또는 설정 오류 → 온도관리기준 이탈,3,,6,,,
L,L,,,6,20 합부 판정 오류로 재검사,00 검사원 숙련도 부족으로 검사 결과 오판정,5,,6,,,
